cont_id,distance,relationship,setting,location_multi,location_fine_multi
21339,Pyshical contact,Coworker,indoor,Work,Work
21340,Less than 1 meter,Friend or acquaintance,indoor,Home,Home
21341,Pyshical contact,Other,indoor,Work,Work
21342,Pyshical contact,Other,indoor,Work,Work
21343,Pyshical contact,Other,indoor,Work,Work
21344,Pyshical contact,Other,indoor,Work,Work
21345,Pyshical contact,Other,indoor,Work,Work
21346,Pyshical contact,Other,indoor,Work,Work
21347,Pyshical contact,Other,indoor,Work,Work
21348,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
21349,Pyshical contact,Other,indoor,Work,Work
21350,Pyshical contact,Other,indoor,Work,Work
21351,Pyshical contact,Other,indoor,Work,Work
21352,Pyshical contact,Other,indoor,Work,Work
21353,Pyshical contact,Other,indoor,Work,Work
21354,Pyshical contact,Other,indoor,Work,Work
21355,Pyshical contact,Other,indoor,Work,Work
21356,Pyshical contact,Other,indoor,Work,Work
21357,Between 1 and 2 meters,Coworker,indoor,Work,Work
21358,Less than 1 meter,Non-cohabitant relative/family member,indoor,Leisure,Homeguest
